Date,Room,Type,Description,Additional Description
2025-08-20T03:44:11.533,103,Value monitoring,DND 1 -> 0,
2025-08-20T03:44:11.539,103,Value monitoring,MUR 0 -> 1,
2025-08-20T03:44:21.388,103,Value monitoring,DND 0 -> 1,
2025-08-20T03:44:21.396,103,Value monitoring,MUR 1 -> 0,
2025-08-20T03:44:31.376,103,Value monitoring,Window  0 -> 1,
2025-08-20T03:44:31.383,103,Value monitoring,Door 1 -> 0,
2025-08-20T03:44:31.393,103,Value monitoring,DND 1 -> 0,
2025-08-20T03:44:31.401,103,Value monitoring,MUR 0 -> 1,
2025-08-20T03:44:41.326,103,Value monitoring,DND 0 -> 1,
2025-08-20T03:44:41.334,103,Value monitoring,MUR 1 -> 0,
2025-08-20T03:44:51.223,103,Value monitoring,DND 1 -> 0,
2025-08-20T03:44:51.232,103,Value monitoring,MUR 0 -> 1,
2025-08-20T03:45:01.333,103,Value monitoring,Window  1 -> 0,
2025-08-20T03:45:01.346,103,Value monitoring,Door 0 -> 1,
2025-08-20T03:45:01.363,103,Value monitoring,DND 0 -> 1,
2025-08-20T03:45:01.380,103,Value monitoring,MUR 1 -> 0,
2025-08-20T03:45:11.154,103,Value monitoring,DND 1 -> 0,
2025-08-20T03:45:11.165,103,Value monitoring,MUR 0 -> 1,
2025-08-20T03:45:20.948,103,Value monitoring,DND 0 -> 1,
2025-08-20T03:45:20.984,103,Value monitoring,MUR 1 -> 0,
2025-08-20T03:45:30.843,103,Value monitoring,Window  0 -> 1,
2025-08-20T03:45:30.850,103,Value monitoring,Door 1 -> 0,
2025-08-20T03:45:30.867,103,Value monitoring,DND 1 -> 0,
2025-08-20T03:45:30.877,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:26:34.858,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:26:34.897,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:26:45.113,103,Value monitoring,Window  0 -> 1,
2025-08-20T20:26:45.124,103,Value monitoring,Door 1 -> 0,
2025-08-20T20:26:45.132,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:26:45.141,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:26:55.244,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:26:55.254,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:27:04.982,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:27:04.991,103,Value monitoring,MUR 0 -> 1,
2025-08-20T20:27:14.577,103,Value monitoring,Window  1 -> 0,
2025-08-20T20:27:14.586,103,Value monitoring,Door 0 -> 1,
2025-08-20T20:27:14.590,103,Value monitoring,DND 0 -> 1,
2025-08-20T20:27:14.600,103,Value monitoring,MUR 1 -> 0,
2025-08-20T20:27:24.338,103,Value monitoring,DND 1 -> 0,
2025-08-20T20:27:24.345,103,Value monitoring,MUR 0 -> 1,
2025-08-21T04:56:24.225,103,Value monitoring,Window  0 -> 1,
2025-08-21T04:56:24.236,103,Value monitoring,Door 1 -> 0,
2025-08-21T04:56:24.244,103,Value monitoring,DND 0 -> 1,
2025-08-21T04:56:24.254,103,Value monitoring,MUR 1 -> 0,
2025-08-21T04:56:31.396,103,Value monitoring,DND 1 -> 0,
2025-08-21T04:56:31.432,103,Value monitoring,MUR 0 -> 1,
2025-08-21T04:56:41.375,103,Value monitoring,DND 0 -> 1,
2025-08-21T04:56:41.385,103,Value monitoring,MUR 1 -> 0,
2025-08-21T04:56:51.161,103,Value monitoring,Window  1 -> 0,
2025-08-21T04:56:51.166,103,Value monitoring,Door 0 -> 1,
2025-08-21T04:56:51.177,103,Value monitoring,DND 1 -> 0,
2025-08-21T04:56:51.185,103,Value monitoring,MUR 0 -> 1,
2025-08-21T04:57:00.960,103,Value monitoring,DND 0 -> 1,
2025-08-21T04:57:00.971,103,Value monitoring,MUR 1 -> 0,
2025-08-21T04:57:10.794,103,Value monitoring,DND 1 -> 0,
2025-08-21T04:57:10.804,103,Value monitoring,MUR 0 -> 1,
2025-08-21T04:57:20.817,103,Value monitoring,Window  0 -> 1,
2025-08-21T04:57:20.823,103,Value monitoring,Door 1 -> 0,
2025-08-21T04:57:20.832,103,Value monitoring,DND 0 -> 1,
2025-08-21T04:57:20.841,103,Value monitoring,MUR 1 -> 0,
2025-08-21T04:57:30.603,103,Value monitoring,DND 1 -> 0,
2025-08-21T04:57:30.611,103,Value monitoring,MUR 0 -> 1,
